id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,collected_at
bitcoin,btc,Bitcoin,78892.0,1583792237089,51422337494,79955.0,76718.0,1.45015,2026-08-24T23:30:20.000Z,2026-08-24 23:33:10.265567+00:00
ethereum,eth,Ethereum,2483.02,299645520644,20291711553,2529.69,2425.59,0.67482,2026-08-24T23:30:20.000Z,2026-08-24 23:33:10.265567+00:00
solana,sol,Solana,98.25,57303049040,5608657292,98.54,93.29,2.5863,2026-08-24T23:30:20.000Z,2026-08-24 23:33:10.265567+00:00
bitcoin,btc,Bitcoin,78947.0,1584870877412,51354056412,79955.0,76718.0,1.69338,2026-08-25T00:02:20.000Z,2026-08-25 00:05:38.758745+00:00
ethereum,eth,Ethereum,2480.99,299420750648,19975212510,2529.69,2425.59,0.90095,2026-08-25T00:02:20.000Z,2026-08-25 00:05:38.758745+00:00
solana,sol,Solana,98.77,57627201405,5706900934,98.88,93.29,3.77635,2026-08-25T00:02:20.000Z,2026-08-25 00:05:38.758745+00:00
bitcoin,btc,Bitcoin,78956.0,1585029628555,51256296491,79955.0,76718.0,1.74965,2026-08-25T00:04:30.000Z,2026-08-25 00:06:45.372171+00:00
ethereum,eth,Ethereum,2480.44,299343184887,20044487275,2529.69,2425.59,0.92953,2026-08-25T00:04:30.000Z,2026-08-25 00:06:45.372171+00:00
solana,sol,Solana,98.79,57621510460,5678824869,98.88,93.29,3.84145,2026-08-25T00:04:30.000Z,2026-08-25 00:06:45.372171+00:00
bitcoin,btc,Bitcoin,79001.0,1584739039887,51729974779,79955.0,76718.0,1.79904,2026-08-25T00:07:20.000Z,2026-08-25 00:09:57.680982+00:00
ethereum,eth,Ethereum,2481.28,299203979561,20262202452,2529.69,2425.59,0.99734,2026-08-25T00:07:20.000Z,2026-08-25 00:09:57.680982+00:00
solana,sol,Solana,99.14,57658382061,5750382595,98.88,93.29,3.93635,2026-08-25T00:07:20.000Z,2026-08-25 00:09:57.680982+00:00
bitcoin,btc,Bitcoin,78964.0,1584893443207,51412413823,79955.0,76718.0,1.6975,2026-08-25T00:10:20.000Z,2026-08-25 00:13:00.406275+00:00
ethereum,eth,Ethereum,2479.82,299199790444,20257567005,2529.69,2425.59,0.84834,2026-08-25T00:10:20.000Z,2026-08-25 00:13:00.406275+00:00
solana,sol,Solana,99.68,58171045208,5893112857,98.88,93.29,4.73222,2026-08-25T00:10:20.000Z,2026-08-25 00:13:00.406275+00:00
bitcoin,btc,Bitcoin,78742.0,1580338827195,51450856739,79955.0,76718.0,1.64463,2026-08-25T00:19:10.000Z,2026-08-25 00:21:51.407696+00:00
ethereum,eth,Ethereum,2474.79,298544924581,20223884271,2529.69,2425.59,0.92807,2026-08-25T00:19:10.000Z,2026-08-25 00:21:51.407696+00:00
solana,sol,Solana,99.67,58065802314,6117366839,98.88,93.29,5.09033,2026-08-25T00:19:10.000Z,2026-08-25 00:21:51.407696+00:00
bitcoin,btc,Bitcoin,78745.0,1580922059077,51439104591,79955.0,76718.0,1.6443,2026-08-25T00:20:20.000Z,2026-08-25 00:22:56.008540+00:00
ethereum,eth,Ethereum,2475.11,298673775753,20126127072,2529.69,2425.59,0.98214,2026-08-25T00:20:20.000Z,2026-08-25 00:22:56.008540+00:00
solana,sol,Solana,99.7,58151917389,6143541940,98.88,93.29,5.15226,2026-08-25T00:20:20.000Z,2026-08-25 00:22:56.008540+00:00
bitcoin,btc,Bitcoin,78756.0,1580855200610,51431021335,79955.0,76718.0,1.6976,2026-08-25T00:21:20.000Z,2026-08-25 00:23:57.293468+00:00
ethereum,eth,Ethereum,2475.73,298725683596,19946868443,2529.69,2425.59,1.02333,2026-08-25T00:21:20.000Z,2026-08-25 00:23:57.293468+00:00
solana,sol,Solana,99.81,58186485329,6155149930,98.88,93.29,5.39377,2026-08-25T00:21:20.000Z,2026-08-25 00:23:57.293468+00:00
bitcoin,btc,Bitcoin,78846.0,1582828885930,51462584330,79955.0,76718.0,1.9817,2026-08-25T00:26:20.000Z,2026-08-25 00:28:57.768869+00:00
ethereum,eth,Ethereum,2480.76,299378568530,20102767958,2529.69,2425.59,1.40387,2026-08-25T00:26:20.000Z,2026-08-25 00:28:57.768869+00:00
solana,sol,Solana,100.04,58437925594,6206113295,98.88,93.29,6.36717,2026-08-25T00:26:20.000Z,2026-08-25 00:28:57.768869+00:00
bitcoin,btc,Bitcoin,78794.0,1581246599041,51330657944,79955.0,76718.0,1.7587,2026-08-25T00:31:10.000Z,2026-08-25 00:33:58.178885+00:00
ethereum,eth,Ethereum,2479.33,299066470774,19968475751,2529.69,2425.59,1.01459,2026-08-25T00:31:10.000Z,2026-08-25 00:33:58.178885+00:00
solana,sol,Solana,99.8,58137553578,6188664407,98.88,93.29,5.37681,2026-08-25T00:31:10.000Z,2026-08-25 00:33:58.178885+00:00
bitcoin,btc,Bitcoin,78862.0,1582749176409,51466881774,79955.0,76718.0,1.77113,2026-08-25T00:36:20.000Z,2026-08-25 00:38:58.720934+00:00
ethereum,eth,Ethereum,2481.87,299485137938,20255930976,2529.69,2425.59,1.05699,2026-08-25T00:36:20.000Z,2026-08-25 00:38:58.720934+00:00
solana,sol,Solana,100.51,58658106114,6171118729,98.88,93.29,5.9046,2026-08-25T00:36:20.000Z,2026-08-25 00:38:58.720934+00:00
bitcoin,btc,Bitcoin,78908.0,1584247763249,51526298122,79955.0,76718.0,1.98016,2026-08-25T00:41:20.000Z,2026-08-25 00:43:59.178201+00:00
ethereum,eth,Ethereum,2481.62,299562221545,20184379869,2529.69,2425.59,1.23972,2026-08-25T00:41:20.000Z,2026-08-25 00:43:59.178201+00:00
solana,sol,Solana,101.12,58932486659,6368115002,98.88,93.29,6.88336,2026-08-25T00:41:20.000Z,2026-08-25 00:43:59.178201+00:00
bitcoin,btc,Bitcoin,79576.0,1597233543412,52063735452,79955.0,76718.0,3.07467,2026-08-25T00:46:20.000Z,2026-08-25 00:48:59.625683+00:00
ethereum,eth,Ethereum,2498.43,301516104495,20461486553,2529.69,2425.59,2.0789,2026-08-25T00:46:20.000Z,2026-08-25 00:48:59.625683+00:00
solana,sol,Solana,102.35,59718806917,6452956956,98.88,93.29,8.43141,2026-08-25T00:46:20.000Z,2026-08-25 00:48:59.625683+00:00
bitcoin,btc,Bitcoin,79695.0,1599412664164,52498618180,79955.0,76718.0,2.7876,2026-08-25T00:54:20.000Z,2026-08-25 00:56:17.391823+00:00
ethereum,eth,Ethereum,2495.52,301153983167,20437656765,2529.69,2425.59,1.55786,2026-08-25T00:54:20.000Z,2026-08-25 00:56:17.391823+00:00
solana,sol,Solana,101.86,59412921950,6597945698,98.88,93.29,7.08657,2026-08-25T00:54:20.000Z,2026-08-25 00:56:17.391823+00:00
bitcoin,btc,Bitcoin,79583.0,1596768560541,52933443116,79955.0,76718.0,2.84479,2026-08-25T01:16:20.000Z,2026-08-25 01:18:47.607107+00:00
ethereum,eth,Ethereum,2487.35,300026013974,20419518726,2529.69,2425.59,1.5022,2026-08-25T01:16:20.000Z,2026-08-25 01:18:47.607107+00:00
solana,sol,Solana,101.53,59286663989,6688186015,102.39,93.29,7.19594,2026-08-25T01:16:20.000Z,2026-08-25 01:18:47.607107+00:00
bitcoin,btc,Bitcoin,79741.0,1600574051594,52963386373,79955.0,76718.0,3.10637,2026-08-25T01:20:20.000Z,2026-08-25 01:23:48.014436+00:00
ethereum,eth,Ethereum,2494.49,300981101680,20499467121,2529.69,2425.59,1.81569,2026-08-25T01:20:20.000Z,2026-08-25 01:23:48.014436+00:00
solana,sol,Solana,101.95,59477559713,6726651395,102.39,93.29,7.65931,2026-08-25T01:20:20.000Z,2026-08-25 01:23:48.014436+00:00
bitcoin,btc,Bitcoin,79763.0,1600811566407,52995974083,79955.0,76718.0,3.1546,2026-08-25T01:25:30.000Z,2026-08-25 01:28:48.419028+00:00
ethereum,eth,Ethereum,2494.98,300952139537,20399459441,2529.69,2425.59,1.89462,2026-08-25T01:25:30.000Z,2026-08-25 01:28:48.419028+00:00
solana,sol,Solana,101.9,59403721178,6736719369,102.39,93.29,7.51461,2026-08-25T01:25:30.000Z,2026-08-25 01:28:48.419028+00:00
bitcoin,btc,Bitcoin,79821.0,1602587959023,53088535378,79955.0,76718.0,3.26067,2026-08-25T01:31:20.000Z,2026-08-25 01:33:48.971439+00:00
ethereum,eth,Ethereum,2499.53,301689778154,20499995668,2529.69,2425.59,2.18539,2026-08-25T01:31:20.000Z,2026-08-25 01:33:48.971439+00:00
solana,sol,Solana,102.22,59641753859,6778218570,102.39,93.29,8.10165,2026-08-25T01:31:20.000Z,2026-08-25 01:33:48.971439+00:00
bitcoin,btc,Bitcoin,79700.0,1599960383174,53071801906,79955.0,76718.0,3.17118,2026-08-25T01:35:20.000Z,2026-08-25 01:38:49.401948+00:00
ethereum,eth,Ethereum,2495.76,301192452898,20562930472,2529.69,2425.59,2.28652,2026-08-25T01:35:20.000Z,2026-08-25 01:38:49.401948+00:00
solana,sol,Solana,101.75,59359876196,6758291719,102.39,93.29,7.80324,2026-08-25T01:35:20.000Z,2026-08-25 01:38:49.401948+00:00
